School No,School Name,Status,Products 2025,Products 2026,Dropped Products
3249655,Jamnabai Narsee School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3253126,"Manav Rachna International School - Charmwood, Faridabad",Dropped,ASSET,None,ASSET
3254316,"Delhi Public School, Bulandshahr",Dropped,ASSET,None,ASSET
3269893,Kunskapsskolan,Dropped,ASSET,None,ASSET
3270957,"The Pentecostal Assembly School, Bokaro",Dropped,"ASSET, CARES",None,"ASSET, CARES"
3283255,The Radiant International School,Dropped,ASSET,None,ASSET
3283922,Gyanshree School,Dropped,ASSET,None,ASSET
3284326,The Kirk View School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3284749,The Kalyani School,Dropped,ASSET,None,ASSET
3285152,Paul George Global School,Dropped,ASSET,None,ASSET
3286324,Deens Academy - Gunjur,Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3292556,The HDFC School,Dropped,ASSET,None,ASSET
3294066,Saandeepani Academy For Excellence,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3301477,The Tons Bridge,Dropped,CARES,None,CARES
3302667,Navrachana International School,Dropped,CARES,None,CARES
3302960,Tula's International School,Dropped,ASSET,None,ASSET
3303259,"Delhi Public School, Balco",Dropped,ASSET,None,ASSET
3303311,Delhi Public School jagdalpur,Dropped,ASSET,None,ASSET
3306257,Delhi Public School,Dropped,CARES,None,CARES
3308610,"SANSKRUTI – An English Medium School, Ashoknagar",Dropped,CARES,None,CARES
3316343,Scholars Academy,Dropped,CARES,None,CARES
3316968,The Sobha Academy,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3327620,The Vedansh International School,Dropped,CARES,None,CARES
3328193,The Ramakrishna Vivekananad Vidya Mandir,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3328278,Ramakrishna Mission Vidyapith,Dropped,CARES,None,CARES
3347570,"KLE Basavaprabhu Kore CBSE School, Ankali",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3347647,"KLE School, Dharwad",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3347753,"KLE School, Haveri",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3347883,"KLE School, Saundatti",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3347997,MRS Educational Trust (Redbridge International Academy),Dropped,Mindspark,None,Mindspark
3362563,Darbari Lal Foundation World School,Dropped,"ASSET, CARES, Mindspark",None,"ASSET, CARES, Mindspark"
3368257,Discoveri Oaks School,Dropped,"ASSET, CARES",None,"ASSET, CARES"
3370385,"KLE C.B. Ranamode School, Athani",Dropped,"ASSET, Mindspark",None,"ASSET, Mindspark"
3386433,Takshashila International School,Dropped,CARES,None,CARES
3390964,Kaveri International School,Dropped,ASSET,None,ASSET
