School No,School Name,City,Category,Offering
207818,Chettinad Vidya Mandir,Karur,Only ASSET,Ei ASSET
3833865,Christel House India - Atal Nagar,Raipur,Only ASSET,Ei ASSET
218537,Delhi Public School,Nagpur,Only ASSET,Ei ASSET
2672,Delhi Public School,Jodhpur,Only ASSET,Ei ASSET
3757528,Delhi Public School - Gautam Buddh Nagar,Noida,Only ASSET,Ei ASSET
5017448,Delhi Public School Hinjawadi Pune,"Nagpur,",Only ASSET,Ei ASSET
519329,Delhi Public School Lava,Nagpur,Only ASSET,Ei ASSET
3991655,"Delhi Public School Nashik, Village Manori",Nagpur,Only ASSET,Ei ASSET
5018239,Delhi Public School Society,New Delhi,Only ASSET,Ei ASSET
3303311,Delhi Public School jagdalpur,Jagdalpur,Only ASSET,Ei ASSET
3303259,"Delhi Public School, Balco",Korba,Only ASSET,Ei ASSET
3254316,"Delhi Public School, Bulandshahr",Bulandshahr,Only ASSET,"Ei ASSET, Ei Teacher Training"
212432,"Delhi Public School, Dwarka",New Delhi,Only ASSET,"Ei ASSET, Ei Teacher Training"
234775,"Delhi Public School, Faridabad",Faridabad,Only ASSET,"Ei ASSET, Ei Teacher Training"
265162,"Delhi Public School, Greater Noida",Greater Noida,Only ASSET,"Ei ASSET, Ei Teacher Training"
5016187,"Delhi Public School, Knowledge Park -V",Greater Noida,Only ASSET,"Ei ASSET, Ei Teacher Training"
2449,"Delhi Public School, Mathura Road",New Delhi,Only ASSET,"Ei ASSET, Ei Teacher Training"
5018234,"Delhi Public School, Navi Mumbai",Navi Mumbai,Only ASSET,"Ei ASSET, Ei Teacher Training"
19028,"Delhi Public School, R.K. Puram",New Delhi,Only ASSET,"Ei ASSET, Ei Teacher Training"
5014895,"Delhi Public School, Rohini",Delhi,Only ASSET,"Ei ASSET, Ei Teacher Training"
214620,"Delhi Public School, Ruby Park",Kolkata,Only ASSET,Ei ASSET
5017383,"Delhi Public School, Sec 122",Noida,Only ASSET,"Ei ASSET, Ei Teacher Training"
5018233,"Delhi Public School, Sector-30, Noida",Noida,Only ASSET,"Ei ASSET, Ei Teacher Training"
353776,"Delhi Public School, Vasant Kunj",Delhi,Only ASSET,"Ei ASSET, Ei Teacher Training"
3472699,Dikshant Global School,Zirakpur,Only ASSET,Ei ASSET
541153,Dikshant International School,Zirakpur,Only ASSET,Ei ASSET
619657,Dr. Kalmadi Shamarao High School (Baner),Pune,Only ASSET,Ei ASSET
530653,Dr. Kalmadi Shamarao High School (Secondary Section),Pune,Only ASSET,Ei ASSET
5070551,"Dr.B.R.Ambedkar Girl'S Residential School(Sc),Madhure",Bangalore,Only ASSET,Ei ASSET
5000918,"Elpro International School, Chinchwad",Pune,Only ASSET,Ei ASSET
5099788,"Elpro International School, Hinjewadi",Pune,Only ASSET,Ei ASSET
3455532,Empyrean School,Navi Mumbai,Only ASSET,Ei ASSET
516721,Fravashi International Academy,Nashik,Only ASSET,Ei ASSET
1873384,G G International School,Pune,Only ASSET,Ei ASSET
5002619,G.D.Goenka Public School Dakshineswar,Kolkata,Only ASSET,Ei ASSET
5015890,"GG International School, Bavdhan",Pune,Only ASSET,Ei ASSET
5042891,"GG International School, Tathawade",Pimpri Chinchwad,Only ASSET,Ei ASSET
5018142,Girls Primary School Teachers MJM,Hyderabad,Only ASSET,Ei ASSET
348782,Glendale Academy International,Hyderabad,Only ASSET,Ei ASSET
2516584,Global Edge School,Hyderabad,Only ASSET,Ei ASSET
2509933,Global Indian International School,Noida,Only ASSET,Ei ASSET
3031830,Global Indian International School,Bengaluru,Only ASSET,Ei ASSET
3149549,Global Indian International School,Ahmedabad,Only ASSET,Ei ASSET
5017050,Global Indian International School,Nagpur,Only ASSET,Ei ASSET
3588889,Global Indian International School Balewadi,Pune,Only ASSET,Ei ASSET
4062318,"Global Indian International School, Bannerghatta",Bangalore,Only ASSET,Ei ASSET
3889453,"Global Indian International School, Hadapsar",Pune,Only ASSET,Ei ASSET
3283922,Gyanshree School,Noida,Only ASSET,Ei ASSET
3826566,Innovative International School,Rajkot,Only ASSET,Ei ASSET
185882,J S S Public School,Bengaluru,Only ASSET,Ei ASSET
1424516,"JSS Public School, HSR Layout",Bengaluru,Only ASSET,Ei ASSET
2952557,Jamnabai Narsee International School,Mumbai,Only ASSET,Ei ASSET
2053321,Kaanger Valley Academy,Raipur,Only ASSET,Ei ASSET
1822220,Kasiga School,Dehradun,Only ASSET,Ei ASSET
3390964,Kaveri International School,Pune,Only ASSET,Ei ASSET
3567542,Keystone International School,Hyderabad,Only ASSET,Ei ASSET
5070237,"Kittu Rani Chennamma Residential School(U)(Sc),Telagarahalli",Bangalore,Only ASSET,Ei ASSET
249296,Kokilaben Dhirubhai Ambani Reliance Foundation School,Jamnagar,Only ASSET,Ei ASSET
3269893,Kunskapsskolan,Gurugram,Only ASSET,Ei ASSET
3871414,Kunskapsskolan,Bangalore,Only ASSET,Ei ASSET
3459074,LPS Global School,Noida,Only ASSET,Ei ASSET
2451376,Lakshmi Matriculation Higher Secondary School,Madurai,Only ASSET,Ei ASSET
608032,Little^s Pre Primary & Primary School,Margao,Only ASSET,Ei ASSET
3589593,Lokmanya Tilak International School,Navi Mumbai,Only ASSET,Ei ASSET
214868,"Loreto Convent, Shillong",Shillong,Only ASSET,Ei ASSET
5042511,Lotus Petal Sr. Sec. School,"Sec 31, Tehsil Sohna, Gurgaon,",Only ASSET,Ei ASSET
5046169,MEGA International School,Bengaluru,Only ASSET,Ei ASSET
5016188,MSB Educational Institute,Rajkot,Only ASSET,Ei ASSET
5017809,MSB Educational Institute Kota,Kota,Only ASSET,Ei ASSET
2473458,Mahatma Montessori School CBSE,Madurai,Only ASSET,Ei ASSET
3253126,"Manav Rachna International School - Charmwood, Faridabad",Faridabad,Only ASSET,Ei ASSET
236318,Mayo College,Ajmer,Only ASSET,Ei ASSET
3472778,"Mind Tree School, Ambala Cantt",Ambala,Only ASSET,Ei ASSET
1026343,"Mind Tree School, Ambala City",Ambala,Only ASSET,Ei ASSET
3402446,"Mind Tree School, Kharar",Kharar,Only ASSET,Ei ASSET
3878188,"Mind Tree School, Naraingarh",Naraingarh,Only ASSET,Ei ASSET
3754524,"Mukesh R Patel CBSE School, Shirpur",Shirpur,Only ASSET,Ei ASSET
615868,N.E.T. Public School,Bengaluru,Only ASSET,Ei ASSET
2456473,N.E.T. Public School - ICSE,Bengaluru,Only ASSET,Ei ASSET
500529,Navy Children School,Vasco,Only ASSET,Ei ASSET
19872,"Padma Seshadri Bala Bhavan Senior Secondary School, K.K.Nagar",Chennai,Only ASSET,Ei ASSET
19966,"Padma Seshadri Bala Bhavan Senior Secondary School, Nungambakkam",Chennai,Only ASSET,Ei ASSET
2548143,"Padma Seshadri Bala Bhavan Senior Secondary School, Siruseri",Chennai,Only ASSET,Ei ASSET
6019,"Padma Seshadri Bala Bhavan Senior Secondary School, T. Nagar",Chennai,Only ASSET,Ei ASSET
2503955,Parle Tilak Vidyalaya (ICSE),Mumbai,Only ASSET,Ei ASSET
5015850,Parle Tilak Vidyalaya (ICSE),Mumbai,Only ASSET,Ei ASSET
3285152,Paul George Global School,Delhi,Only ASSET,Ei ASSET
2546862,Pearson School Kompally,Hyderabad,Only ASSET,Ei ASSET
3707644,Poola School,Bengaluru,Only ASSET,Ei ASSET
